"id","name","updating","country","link","cover_image","location","xc","dh","fr","skills","food","parking","parking_charge","toilet","shower","shop","trails","uplift","rebuilt","display_on_map","website","web_uplift","uplift_logo","description","weather","pageviews"
"106","Laggan Wolftrax","0","scotland","laggan_wolftrax",,"57.000566, -4.317265","1","0","1","0","0","1","1,1;2,3;3,24;","1","1","0","4","1","1","3","http://lagganforest.com/",,,"Laggan Wolftrax is between Aviemore and Fort William, and though technically an xc centre, it has more in common with dh trails.<br><br>It's laid out so a full loop of the trails takes you from the bottom, up a fairly direct climb to the start of the trails, follwed by descending to the bottom, climbing back to the start and so on.<br><br>They are currently building a new cafe and visitor centre, due to open in the spring 2015.","352191","81"
"107","Learnie Redrock","0","scotland","learnie_redrock",,"57.6191506, -4.1279671","1","1","1","0","0","1","1,1;1.50,3;2,24;","0","0","0","8","0","1","3","http://www.forestry.gov.uk/forestry/INFD-6NZE9W",,,"These purpose built mountain bike trails are fantastic fun for all levels, but especially good for novice and intermediate riders. You can mix the green, blue, and black graded trails with forest roads and an orange-graded bike park and dirt jump area to make a full day in the saddle. If you&#39;ve time to look beyond your front wheel, you&#39;ll enjoy some great views too.","352237","75"
"108","Moray Monster","0","scotland","moray_monster",,"57.605089, -3.101390","1","1","0","0","0","1",,"0","0","0","10","0","1","3","http://www.forestry.gov.uk/forestry/INFD-6MRFE5",,,"Whether you’re new to off-road mountain biking or an expert rider looking for big thrills, there’s a Monster Trail that’s just right for you. Head to Winding Walks for extreme freeriding and the red-grade Fochabers Ring, or start at Ordiequish for slightly easier blue routes – and the mighty black Gully Monster.","352675","70"
"109","Newcastleton","0","scotland","newcastleton",,"55.178496, -2.784181","1","0","0","1","0","1","free","1","0","0","2","0","1","3","http://7stanesmountainbiking.com/Newcastleton",,,"Newcastleton trails start in the small village of Newcastleton, climbing up to the skills area and start of the red and blue trails.<br><br>Newcastleton itself has plenty of parking, cafés and public toilets.","352797","80"
"110","Pitfichie","0","scotland","pitfichie",,"57.2380812, -2.5438334","1","1","0","0","0","0",,"0","0","0","2","0","1","3",,,,"Pitfichie has both an xc and dh trail.

Situated to the north of Monymusk near Aberdeen, this location is hard to find.","355652","77"
"111","Strathpeffer","0","scotland","strathpeffer",,"57.5874215, -4.5396445","1","0","0","0","0","0",,"0","0","0","1","0","1","1","http://www.squarewheels.biz/",,,,,"0"
"112","Wee Toon","0","scotland","wee_toon",,"55.426573, -5.605007","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"113","Llandegla","0","wales","llandegla",,"53.063293, -3.135242","1","0","1","0","1","1","5,24;","1","0","1","4","0","1","3","http://www.coedllandegla.com/",,,"Llandegla is in the north of Wales, and has trails to suit most abilities.<br><br>With onsite café, shop and plenty of parking, it's good for a whole day out.","353984","82"
"114","Black Mountains Cycle Centre","0","wales","black_mountains_cycle_centre",,"51.8906124, -2.9787164","0","1","0","0","0","1",,"0","0","0","1","1","1","1",,,,,,"0"
"115","Afan Forest park","0","wales","afan_forest_park",,"51.641792, -3.705286","1","1","1","0","1","1",,"1","1","1","8","0","1","3",,,,"Afan offers a mountain biking experience second to none. Afan has it all from flowing singletrack threading through the forest to more exposed trails on wide open hills with amazing view and even a Bike Park.

Natural Resources Wales&#39; Afan Forest Park is the fastest growing mountain bike area in Britain and located only minutes from the M4 it’s perfect for those wanting to reach a variety of fantastic riding without the hassle of long journeys. With 6 superb flowing trails ranging from 7km tom over 40km&#39;s and a Bike Park there is more all weather singletrack than any other MBWales centre you simply have to check it out!","350043","74"
"116","Antur Stiniog","0","wales","antur_stiniog",,"53.006211, -3.941370","1","1","0","0","1","1",,"1","0","0","6","1","1","3",,,,"In July 2012 a much anticipated trail centre, Antur Stiniog, opened it&#39;s doors. Set in the historical slate mining town of Blaenau Ffestiniog it&#39;s setting is unique to say the least. Antur Stiniog is one of only a few uplift centres in Wales which means you can spend the day riding and barely pedal.","354858","77"
"117","Betws-Y-Coed","0","wales","betws_y_coed",,"53.092239, -3.801070","1","0","0","0","1","1",,"1","0","1","4","0","1","3",,,,"Buried right in the heart of Snowdonia, Betws y Coed is the outdoor adventure capital of Wales. No wonder then that it’s been a mountain biking Mecca since the first Muddy Fox’s rolled into town.

Now the 100kms of legendary local routes are boosted by two superb, but very different man made trails at Gwydyr Forest and Penmachno. ","324165","79"
"118","Bike Park Wales","0","wales","bike_park_wales",,"51.721169, -3.3746883","1","1","1","0","1","1",,"1","0","1","9","1","1","3",,,,"Bike Park Wales is much closer in concept to that of a ski hill than your average trail centre.  Built in the heart of the South Wales Valleys, Mountain Bike Wales offers mountain bike trails for all abilities from family to pro lines.  The park offers a mini bus service which transports you and your bike up to the top in between rides, providing your legs with a little rest before your next run down.    ","324081","80"
"119","Brechfa","0","wales","brechfa",,"51.984079, -4.059726","1","0","0","0","1","1",,"1","0","0","4","0","1","3",,,,"One of the newest pins on the MBWales.com map, Brechfa is a perfect destination for both pootlers or those who like to ride totally pinned.

The Gorlech Trail, designed by Rowan Sorrell, is made up of three big climbs and descents stretching over its 19km.
More progressive riders can also test their full arsenal of skills on the fearsome but thrilling features of the black graded Raven Trail!

In contrast, the Derwen Trail is the starting point for families and novices and a great introduction to mountain biking.
All trails show off Brechfa Forest at its best.","352765","86"
"121","Coed Trallwm","0","wales","coed_trallwm",,"52.1732181, -3.6338637","1","0","0","0","1","1",,"1","1","0","5","0","1","3","http://www.coedtrallwm.co.uk/",,,"This centre, established in 2003 nestles in the mountains between the Irfon valley (2 miles south) with Llanwrtyd Wells, and the Elan Valley (5 miles north) with its 5 reservoirs, both long-time mountain biking areas.

In this remote part of Wales where population densities are measured in km² per person rather than vice-verse, the 15km of trails at Coed Trallwm serve as the starting point for the more ambitious to explore some of the wilderness beyond on the ancient bridleways and drovers roads which cross the 400km² empty quarter between Rhayader, Tregaron and Cwmystwyth where nobody lives any more. 

This includes the spectacular Doethie Valley below the Llyn Brianne Resevoir.","354823","86"
"122","Coed-Y-Brenin","0","wales","coed_y_brenin",,"52.824342, -3.896218","1","0","1","1","1","1",,"1","1","1","9","0","1","3","http://www.mbwales.com/en/content/cms/Centres/Coed_y_Brenin/Coed_y_Brenin.aspx",,,"Coed y Brenin was the first forest to be developed for the sport of mountain biking and to this day retains its reputation as the sports premier location.
 
The trail network is constantly being expanded and improved too. The new Y Ffowndri Skills Area & Bike Park add a range of features to test and develop your riding. Be sure to take in the breath taking scenery, with views across to Cadair Idris, glaciated valleys, wild untamed rivers, an expanse of forest and all in the heart of Snowdonia National Park.","350973","79"
"123","Crychan","0","wales","crychan",,"52.0347845, -3.6648181","1","0","0","0","0","1",,"0","0","0","5","0","1","1","http://www.crychanforest.org.uk/",,,,,"0"
"124","Cwm Rhaeadr","0","wales","cwm_rhaeadr",,"52.064747, -3.802761","1","0","0","0","0","1",,"0","0","0","1","0","1","1","http://www.forestry.gov.uk/website/recreation.nsf/LUWebDocsByKey/WalesCarmarthenshireNoForestCwmRhaeadr",,,,,"0"
"125","Cwmcarn","0","wales","cwmcarn",,"51.635762, -3.115148","1","1","0","0","1","1",,"1","0","1","4","1","1","3","http://www.cognation.co.uk/trails/cwmcarn",,,"
The fastest way for southern based riders to get their fix of singletrack fun and DH action, Cwmcarn is less than half an hour from the Severn bridge and 10min from the M4.

The wild and more natural contouring singletrack of the new Cognation funded Cafall and legendary Twrch trail. Red graded trails will keep you firmly focused on your riding, but stop for a breather and look about and you’ll be looking out over the Bristol Channel. The Y Mynydd Downhill trail has been joined by the new Cognation funded Peadalhounds DH trail giving another Exxtream graded option for those joining the onsite uplift.
 
There’s also a purpose built freeride park, full of jump packs, berms, wall rides and a complete corkscrew for getting your eye in before hitting the full descent.","351139","81"
"126","Garw Valley","0","wales","garw_valley",,"51.626001, -3.591721","1","0","0","0","0","1",,"0","0","0","2","0","1","1","http://www.gvcc.org.uk/Garw-Valley-Community-Council/darren_fawr_mountain_bike_trails-2220.aspx",,,,,"0"
"127","Llangollen","0","wales","llangollen",,"53.012202, -3.164801","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"128","Llantrisant","0","wales","llantrisant",,"51.551245, -3.403367","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"129","Machynlleth","0","wales","machynlleth",,"52.589920, -3.850652","1","0","0","0","0","1",,"0","0","0","5","0","1","3","http://www.dyfimountainbiking.org.uk/Dyfi_MTB/Welcome.html",,,"The old Welsh capital in the south of Snowdonia, Machynlleth has a unique Alpine atmosphere and rich trail menu.

The original Mach 1-3 trails take you as far out into the wilderness as you want to go on natural, but no less challenging trails. Meanwhile the more recent cli-machx trail winds you high into Dyfi forest before firing you down superbly technical singletrack descents that seem to go on forever. ","324203","74"
"130","Margam Park","0","wales","margam_park",,"51.5571611, -3.7316475","1","0","0","0","1","1",,"1","0","1","2","0","1","1","http://www.margamcountrypark.co.uk/default.aspx?page=1347",,,,,"0"
"131","Mountain Ash","0","wales","mountain_ash",,"51.665438, -3.350039","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"132","Nant-Yr-Arian","0","wales","nant_yr_arian",,"52.414874, -3.885673","1","0","0","0","1","1",,"1","0","0","3","0","1","3","http://www.forestry.gov.uk/bwlchnantyrarian",,,"Nant-yr-Arian forest sits high on the mountains just inland from Aberystwyth, and offers stunning high-level wilderness riding. With trails heading out into the epic scenery of the Cambrian Mountains, this is a fantastic area for those who like their riding rugged. 

Just be prepared for everything from true mountain climbs to river crossings and technical rocky descents. ","350701","71"
"133","Revolution Bike Park","0","wales","revolution_bike_park",,"52.820964, -3.408519","0","1","0","0","1","1",,"1","0","0","5","1","1","3","http://revolutionbikepark.co.uk/",,,"At Revolution you&#39;ll find a mix of traditional, natural downhill tracks, some of the steepest and most technical in the country. From tight, rooty corners to big open berms and tabletops with more jumps than a kangaroo on a space hopper.

With over 100 acres of woodland and over 300m of vertical descent, our full-time trail team have plenty of space to continue expanding the trail network for years to come.","371374","69"
"134","Rheola","0","wales","rheola",,"51.733280, -3.663080","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"135","Ruthin","0","wales","ruthin",,"53.110944, -3.308849","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"136","Usk Reservoir","0","wales","usk_reservoir",,"51.944074, -3.698423","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"137","Alp D'Huez","0","france","alp_dhuez",,"45.09255,6.068645","1","1","1","0","1","1",,"1","0","1","35","1","1","3",,,,"Home of the MegaAvalanche and host to over 30 trails for all riding disciplines, Alp D&#39;Huez should keep you occupied for a while!",,"86"
"138","Chamonix","0","france","chamonix",,"45.923931,6.873894","1","1","1","1","1","1",,"1","0","1","20","1","1","1","http://www.chamonix.com/",,,,,"0"
"139","Morzine","0","france","morzine",,"46.181376, 6.703627","1","1","0","0","1","1",,"1","0","1","8","1","1","1",,,,,,"0"
"140","Chatel","0","france","chatel",,"46.267359, 6.840777","1","1","0","0","1","1",,"1","0","1","3","1","1","1",,,,,,"0"
"141","Pré Le Joux","0","france","pre_le_joux",,"46.217852, 6.793106","1","1","1","0","1","1",,"1","0","0","14","1","1","1",,,,,,"0"
"142","Les Deux Alpes","0","france","les_deux_alpes",,"45.011358,6.124349","1","1","1","1","1","1",,"1","0","1","9","1","1","1",,,,,,"0"
"143","Les Arcs","0","france","les_arcs",,"45.61884, 6.771154","1","1","1","0","1","1",,"1","0","1","22","1","1","1",,,,,,"0"
"144","Les Carroz","0","france","les_carroz",,"46.024681, 6.644311","1","1","0","0","1","1",,"1","0","0","4","1","1","1",,,,,,"0"
"145","Les Gets","0","france","les_gets",,"46.160096, 6.670582","1","1","1","1","1","1",,"1","0","1","16","1","1","1",,,,,,"0"
"146","Les Lindarets","0","france","les_lindarets",,"46.206968, 6.777424","0","1","0","0","1","1",,"0","0","0","3","1","1","1",,,,,,"0"
"147","Saléve","0","france","saleve",,"46.162222,6.188993","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"148","Tignes","0","france","tignes",,"45.468919, 6.906266","1","1","1","0","1","1",,"1","0","1","25","1","1","1",,,,,,"0"
"149","Champery","0","switzerland","champery",,"46.175016, 6.87099","0","1","0","0","1","1",,"1","0","1","2","1","1","1",,,,,,"0"
"150","Les Crosets","0","switzerland","les_crosets",,"46.183812, 6.833911","0","1","0","0","1","1",,"1","0","0","4","1","1","1",,,,,,"0"
"151","Morgins","0","switzerland","morgins",,"46.236971, 6.858115","1","1","0","0","1","1",,"1","0","1","8","1","1","3",,,,"Morgins is one of those places in the Portes Du Soleil that isn&#39;t so well known, but hides some really good trails.

Unfortunately it&#39;s not the best place to get to and from with the return home needing either a mile climb up the road in baking temperatures followed by a bus from Chatel, or an enduro trail via Champoussin.

Arguably, the trails are well worth the hassle. ",,"89"
"152","Aberfoyle Bikepark","0","scotland","aberfoyle_bike_park",,"56.176362, -4.375775","1","0","1","1","0","1",,"0","0","0","3","0","1","3",,,,"The Bike Park has the usual fun features - rock garden, skinnies, drops, jumps, berms and is aimed at providing a facility where people, particularly young people, can learn mountain bike skills and just enjoy themselves on their bike.  ","350015","92"
"153","Alyth Bike Park","0","scotland","alyth_bike_park",,"56.629207, -3.249608","1","0","0","1","0","0",,"0","0","0","3","0","1","1",,,,,,"0"
"154","Ashton Hill Plantation","0","england","ashton_hill_plantation",,"51.436221, -2.693424","1","1","0","0","0","0",,"0","0","0","4","0","1","1",,,,,,"0"
"155","Beecraigs Country Park","0","scotland","beecraigs_country_park",,"55.954237, -3.592804","1","0","0","0","1","1",,"1","0","0","1","0","1","1",,,,,,"0"
"156","Bellsmyre Trails","0","scotland","bellsmyre_trails",,"55.958804, -4.550295","0","0","0","0","0","0",,"0","0","0","0","0","1","1",,,,,,"0"
"157","Bickerstaffe","0","england","bickerstaffe",,,"1","1","0","0","0","0",,"0","0","0","3","0","1","1",,,,,,"0"
"158","Bikepark Ireland","0","Ireland","bikepark_ireland",,,"0","1","1","0","1","1",,"1","0","1","8","1","1","1",,,,,,"0"
"159","Moelfre Hall","0","wales","moelfre_hall",,,"0","1","0","0","0","0",,"0","0","0","1","1","1","1","http://www.facebook.com/pages/Moelfre-Hall-Downhill-Track/311995150705",,,,,"0"
